RegionId,Area,AvgHeight,MinHeight,MaxHeight,NearSea,AvgHumidity,Type,CentroidX,CentroidY,CentroidZ,level,Name
1,6580000,3607,2585,4553,0,72,Tundra,40600,40700,3883,2,Icebound
2,3600000,1384,1067,1852,0,115,Humid,47000,700,1292,3,Greenwood
3,3600000,1923,1587,2123,0,180,Humid,23000,55800,1947,4,Whisperwind
4,3780000,4194,3113,4547,0,2,Desert,40100,41900,4121,5,Sunfire
5,3790000,4396,3601,4708,1,170,Tundra,58100,38800,4489,1,Coldspire
6,4280000,1817,16,2204,1,32,Ocean,28600,34000,1965,2,Azure Depths
7,3620000,3325,2877,3644,0,170,Tundra,43200,37200,3382,3,Whitehold
8,3640000,2070,1641,2322,1,179,Humid,32700,30000,2114,4,Mistwood
9,3650000,4651,2989,5491,1,175,Tundra,53100,49800,4736,5,Northwind
10,3640000,4286,3104,5045,1,0,Desert,58900,42100,4300,1,Dustreach
11,3620000,2432,1906,2691,0,176,Humid,29400,56300,1938,2,Verdant
12,3650000,1157,431,1777,0,20,Temperate,36900,14100,960,3,Highgarden
13,3600000,2040,1659,2585,0,123,Humid,49800,9800,1968,4,Marshsong
14,4050000,3322,2805,3920,0,21,Temperate,59000,9000,3148,5,Springvale
15,3750000,1848,15,2470,1,14,Ocean,25600,58900,2192,2,Stormtide
16,3600000,210,146,287,1,37,Temperate,22400,15900,195,2,Emberfall
17,4220000,3333,2411,3690,0,37,Temperate,54700,5800,3382,3,Summergrove
18,3600000,2089,1766,2535,0,18,Temperate,34300,25600,2106,4,Greendale
19,3600000,953,661,1356,0,20,Temperate,18300,39600,972,5,Meadowbrook
20,4540000,3677,2617,4322,0,27,Temperate,55700,27900,3527,1,Eastmere
21,3600000,183,127,258,0,32,Temperate,14800,33000,190,2,Rosewood
22,3760000,3271,2447,3846,0,15,Temperate,48900,21400,3381,3,Pinehaven
23,5290000,278,1,961,1,104,Ocean,10700,38500,90,1,Deepwell
24,5390000,2094,1622,2571,0,17,Temperate,25900,41000,2015,5,Everdale
25,3610000,663,6,1050,1,38,Ocean,12800,45100,660,1,Wavecrest
26,3600000,142,1,275,1,46,Ocean,17300,17600,207,1,Bluewater
27,3810000,5071,3914,5607,0,170,Tundra,52600,33400,5153,3,Frostgate
28,3640000,3263,2169,4186,0,177,Humid,42700,22500,3330,4,Rainvale
29,3620000,5227,4566,5539,0,175,Frozen,56100,31000,5467,5,Frostmere
30,3630000,3351,2503,3760,0,169,Tundra,42100,47000,3293,1,Snowdrift
31,3640000,4249,3283,5008,0,4,Desert,59200,18400,4201,2,Sunset Dunes
32,4490000,4297,3713,4641,0,27,Temperate,45900,42100,4032,3,Greenfield
33,3600000,701,279,1757,0,11,Dry,20200,53200,595,4,Silver Basin
34,3620000,3026,2319,3219,0,15,Temperate,43900,11900,3012,5,Oakheart
35,3600000,1573,21,2365,1,15,Temperate,28700,39700,905,1,Hillcrest
36,3620000,5818,4541,6184,0,180,Frozen,48000,32900,6161,2,Crystal Hollow
37,3660000,1275,1088,1637,0,27,Temperate,33300,17500,1197,3,Grassmere
38,3850000,4004,3010,4344,0,3,Desert,47200,40500,4050,4,Sandstone
39,3620000,4130,3535,4897,0,178,Tundra,40700,51100,4033,5,Coldwind
40,3600000,332,229,488,0,33,Temperate,11800,54100,342,1,Brightvale
41,3620000,1155,943,1465,0,36,Temperate,14300,43900,1133,2,Sunwood
42,3610000,1394,1094,2003,0,127,Humid,47100,2300,1400,3,River's Edge
43,3650000,2927,2282,3224,0,21,Temperate,45500,12200,3021,4,Mistyvale
44,3660000,3783,2785,4217,0,175,Tundra,54700,21000,3961,5,Frostfield
45,3640000,1772,184,2270,1,13,Dry,30100,30900,2144,1,Redridge
46,3720000,2991,2236,3361,0,3,Desert,37700,37600,3191,2,Goldshore
47,3610000,5101,4225,5481,0,172,Frozen,53300,35300,4391,3,Snowfield
48,4230000,4710,4135,5263,1,26,Frozen,54500,55300,4618,4,Icewrack
49,4420000,4519,3337,5138,0,34,Temperate,39800,55000,4646,5,Willowmere
50,3610000,2308,1752,2554,0,136,Humid,50500,4900,2448,1,Willowshade
51,3620000,1476,1139,1633,0,10,Dry,32600,21500,1577,2,Stonewatch
52,3830000,3972,3014,4500,0,167,Tundra,44800,45800,4105,3,Snowguard
53,3600000,2119,1438,2480,1,1,Desert,32800,32000,2071,4,Aridwind
54,3620000,88,1,277,1,48,Ocean,5700,54500,84,2,Coral Bay
55,4280000,150,93,270,0,69,Humid,7500,57900,165,1,Moonfen
56,3600000,324,123,566,0,15,Temperate,18200,56600,308,2,Rosevale
57,3720000,774,3,1555,1,40,Ocean,20800,33300,1348,2,Seastone
58,3600000,1944,1707,2417,0,16,Temperate,25300,53900,1906,4,Summerfield
59,3620000,4507,3294,5202,0,172,Tundra,46700,45600,4411,5,Frostpine
60,3600000,130,2,306,1,44,Ocean,14100,25500,140,2,Suncrest Bay
61,3630000,3228,2279,4327,1,156,Humid,40700,28300,2345,2,Mistglen
62,3610000,3830,2915,4412,0,4,Desert,48600,13400,4275,3,Sunspire
63,3600000,3641,2840,4314,0,176,Tundra,45600,35300,3731,4,Icewatch
64,3600000,260,123,466,0,43,Humid,37700,600,286,5,Shadevale
65,3600000,46,1,124,1,53,Ocean,25600,10100,66,1,Tidecall
66,3610000,3803,1767,4334,1,180,Humid,41200,31100,3321,2,Dewspring
67,3660000,3883,2965,4725,0,175,Tundra,52000,26600,3849,3,Snowpeak
68,3600000,161,105,219,0,28,Temperate,16600,22600,165,4,Greenshadow
69,4090000,3657,2920,4011,0,9,Dry,58800,22300,3721,5,Ironfield
70,4100000,4477,4073,4706,0,17,Frozen,51800,48300,4533,1,Stormpeak
71,3600000,439,3,677,1,31,Ocean,14500,51000,499,1,Saltwind
72,3810000,1869,1506,2143,0,13,Dry,30500,29300,1760,3,Cinder Flats
73,3700000,3827,2723,4819,0,166,Tundra,46800,47400,4033,4,Frostbite
74,4590000,641,285,1587,0,58,Humid,35300,13300,448,5,Marshlight
75,3630000,4347,3755,4659,0,3,Desert,30000,45700,4253,1,Sandscar
76,3710000,4909,3946,5772,1,6,Dry,42900,29400,4903,2,Burning Plains
77,3600000,248,217,308,1,45,Humid,50000,57700,280,3,Rainshade
78,3820000,1223,1050,1688,0,29,Temperate,17400,46500,1209,4,Elmwood
79,3690000,5799,4488,6206,0,174,Frozen,46600,28100,5974,5,Icefall
80,3690000,5243,4083,5794,0,169,Frozen,59000,45500,5391,1,Glacierwood
81,3610000,3863,3010,4163,0,172,Tundra,58000,19700,3860,2,Snowhollow
82,4630000,6089,5300,6516,0,52,Frozen,44300,27200,6150,3,Winter's Breath
83,3610000,63,1,171,1,44,Ocean,12000,34900,16,1,Pearlshall
84,3610000,3599,2821,3941,0,167,Tundra,45300,49200,3428,5,Frostmoon
85,3610000,1929,1790,2148,0,18,Temperate,37600,23100,1926,1,Springfield
86,3600000,1869,1670,2189,0,176,Humid,38000,21400,1821,2,Shadowfen
87,3830000,3991,2051,4621,1,7,Dry,44200,50600,4148,3,Ashland
88,4320000,1869,6,2798,1,56,Ocean,45800,16500,1789,1,Wavebreak
89,6280000,3023,10,4234,1,36,Ocean,56600,13300,2741,1,Blue Reach
90,6300000,94,1,294,1,17,Ocean,12300,31400,88,2,Deep Tide
91,3670000,1531,1271,1650,0,26,Temperate,28400,19400,1560,2,Woodvale
92,6670000,4499,2672,5624,1,76,Tundra,44200,31400,4398,3,Iceshard
93,3630000,4920,3853,5214,0,172,Tundra,57400,15400,4820,4,Snowcliff
94,3890000,3084,2467,3901,0,26,Temperate,47100,12800,3238,5,Cedarvale
95,3600000,139,86,272,0,31,Temperate,13900,31600,119,1,Leafshade
96,3630000,1250,440,1839,0,24,Temperate,30300,16900,1273,2,Greenridge
97,3600000,3879,3218,4126,0,177,Tundra,58500,20900,3394,3,Frosthill
98,3600000,675,489,884,0,39,Temperate,37900,5800,641,4,Maplebrook
99,3600000,163,1,349,1,52,Ocean,8400,48900,174,2,Drift Bay
100,5560000,3616,2982,3915,0,67,Tundra,51300,21800,3697,1,Coldstone
101,3640000,3793,3157,4055,0,4,Desert,52100,20500,3873,2,Brightsand
102,3700000,4220,3516,4706,0,11,Dry,44100,42900,4291,3,Dustfall
103,3840000,653,5,846,1,54,Ocean,36500,6800,603,1,Coralsea
104,3610000,1559,710,1905,0,30,Temperate,36900,12300,1649,5,Summerglade
105,3610000,839,738,949,0,41,Humid,12600,39300,840,1,Fern Hollow
106,3600000,397,207,678,0,16,Temperate,14600,57500,404,2,Greenhaven
107,3770000,4116,1544,4829,1,13,Dry,57100,41700,1741,3,Saltflat
108,3630000,2632,2064,3219,0,7,Dry,53200,6600,2388,4,Redstone
109,4530000,2645,2111,2966,0,35,Temperate,31700,55800,2629,5,Brightwood
110,3600000,742,17,968,1,48,Ocean,11800,40000,877,1,Oceanreach
111,3660000,1660,897,1985,0,10,Dry,26100,35300,1594,2,Dry Gulch
112,3790000,5341,4541,5684,0,171,Frozen,53600,29900,5480,3,Iceglade
113,3600000,270,185,378,0,22,Temperate,13200,58100,248,4,Greencrest
114,3740000,4232,3375,4562,1,3,Desert,48000,52600,4408,5,Flamecrest
115,3800000,2757,2237,2961,0,19,Temperate,45800,14600,2721,1,Oakshade
116,3610000,5173,4685,5451,0,126,Frozen,56500,50600,5248,2,Frostwhisper
117,3670000,232,184,303,1,42,Humid,46300,59200,200,3,Waterleaf
118,3960000,5347,4670,5732,0,16,Frozen,52300,28200,5674,4,Winterhaven
119,3650000,2969,225,3753,1,160,Humid,40700,58400,1855,5,Gloomfen
120,3610000,2674,2109,3099,0,180,Humid,59200,4700,2656,1,Moonglade
121,3600000,3108,2406,3522,0,180,Humid,55500,4200,3098,2,Lakeside
122,5680000,4250,2950,5261,0,67,Tundra,37300,54200,4880,3,Icereach
123,3600000,295,163,632,0,37,Temperate,34200,7900,188,4,Pinebrook
124,3690000,1763,1344,2091,0,9,Dry,28500,28300,1739,5,Ironrock
125,3610000,2459,2235,2637,0,151,Humid,24900,46900,2491,1,Fenwatch
126,3730000,5551,4331,5939,0,0,Frozen,48600,28600,5599,2,Coldfang
127,3640000,3924,3198,4171,0,177,Tundra,38100,46800,3995,3,Snowridge
128,6740000,4221,3294,4597,0,1,Desert,33400,40800,4341,4,Sunshadow
129,3600000,676,462,826,0,28,Temperate,39600,3000,641,5,Elmvale
130,3740000,3328,2608,3671,0,173,Tundra,54600,25900,3425,1,Froststorm
131,3600000,1394,704,2164,0,25,Temperate,17700,41000,1667,2,Ashmere
132,3650000,116,1,204,1,40,Ocean,7800,55800,130,2,Saltspire
133,3670000,4680,3818,5128,0,170,Tundra,57100,36900,4647,4,Winterfall
134,3620000,2542,2265,2778,0,0,Desert,22900,48000,2553,5,Dunelight
135,3830000,2580,2018,3029,0,146,Humid,55100,10100,2756,1,Marshshade
136,5090000,1812,1360,2054,0,64,Humid,30400,26600,1876,2,Riverglade
137,3620000,5047,4017,5305,0,6,Frozen,57800,16700,5065,3,Winterfell
138,3610000,588,396,969,0,36,Temperate,38300,4000,615,4,Summerdale
139,3750000,4447,3010,4799,1,3,Desert,46400,51100,4598,5,Emberdune
140,3600000,1951,5,2498,1,22,Ocean,45100,18600,2366,1,Brightshore
141,3600000,2026,1708,2265,0,1,Desert,24000,54800,2130,2,Suncross
142,4940000,1274,727,1633,0,62,Humid,21700,29400,1291,3,Mistfall
143,3690000,4997,4002,5416,0,1,Frozen,52700,51400,5009,4,Icewater
144,3930000,2227,918,2531,1,20,Temperate,28300,57800,2288,5,Springbrook
145,4080000,997,125,4564,1,56,Humid,45000,52500,230,1,Swampwatch
146,3630000,4700,4241,4970,0,7,Frozen,52300,44200,4754,2,Glacierfall
147,3600000,833,523,1063,0,25,Temperate,25400,18600,852,3,Greenglen
148,3640000,2132,1611,3146,0,8,Dry,41400,11800,2180,4,Red Mesa
149,3600000,2974,2120,3206,0,170,Humid,37800,57100,2923,5,Mistrun
150,3880000,2247,21,3255,1,25,Temperate,25800,47900,2308,1,Cedarbrook
151,3640000,1716,1239,1913,0,14,Dry,35000,18900,1714,2,Bonefield
152,5160000,1207,241,2002,0,68,Humid,20600,54900,1471,3,Rainfall
153,3600000,130,5,313,1,49,Ocean,5900,52700,99,2,Bluehaven
154,3810000,97,1,703,1,42,Ocean,17500,28400,146,1,Coral Reach
155,3600000,321,223,464,0,21,Temperate,13400,53000,297,1,Leafbrook
156,5270000,3620,2796,4038,0,49,Tundra,44100,47600,3555,2,Frostlake
157,3620000,2155,1775,2444,0,126,Humid,39800,21900,2137,3,Marshwood
158,5190000,5100,3578,6165,0,60,Tundra,47700,25600,5275,4,Snowmoor
159,7040000,2721,1760,4214,0,91,Humid,48100,20100,2537,5,Shadebrook
160,4000000,415,18,1172,0,43,Humid,18800,28000,573,1,Fenwater
161,3600000,1280,642,1930,0,28,Temperate,38000,8200,1306,2,Oakglen
162,5490000,3988,2802,4785,0,51,Tundra,47600,48900,3993,3,Icetide
163,3900000,359,4,548,1,50,Ocean,23000,23000,37,1,Wavehaven
164,3610000,481,368,563,1,43,Humid,36300,3600,490,5,Waterbrook
165,3840000,2453,1898,2713,0,17,Temperate,34600,27500,2455,1,Springglen
166,3600000,131,1,235,1,48,Ocean,6000,56500,142,1,Bayfall
168,3630000,669,313,1506,0,9,Dry,16800,58200,738,4,Sandharbor
169,5430000,4434,3546,4768,0,76,Tundra,27800,45200,4636,5,Snowhaven
170,3610000,4259,3793,4577,0,167,Tundra,52600,39600,4137,1,Icevale
171,3600000,115,77,162,1,39,Temperate,13200,21200,112,2,Woodshade
172,3610000,2361,2052,2667,0,8,Dry,21500,41800,2346,3,Ashridge
173,3670000,2069,42,2590,0,7,Dry,41500,20300,1943,4,Stoneforge
174,4260000,2612,1886,3089,0,42,Humid,37300,18600,2785,5,Swampfen
175,5730000,1559,2,2689,1,94,Ocean,41800,16700,1628,1,Seafoam
176,4060000,2736,2242,3039,0,16,Temperate,32300,57400,2812,2,Pinevale
177,4290000,4312,946,4978,1,25,Temperate,42200,52900,4582,3,Greenhill
178,3610000,954,808,1095,0,26,Temperate,32800,15800,945,4,Willowfield
179,3630000,4714,4313,5048,0,175,Frozen,55500,57200,4782,5,Whitewater
180,3600000,679,28,1171,1,38,Temperate,13400,46800,675,1,Honeybrook
181,4180000,2341,1807,2634,0,28,Temperate,29300,54600,2403,2,Mapleglade
182,3640000,2674,2191,2877,0,18,Temperate,40800,19000,2833,3,Elmshade
183,3610000,179,1,259,1,30,Ocean,10100,52300,168,2,Oceanstone
184,3600000,3071,2565,3334,0,15,Temperate,56000,7300,3125,5,Greenshire
185,3620000,101,1,210,1,42,Ocean,12500,33400,94,1,Shellbay
186,3650000,3880,2935,4455,0,11,Dry,30700,41100,3920,2,Dustbowl
187,3640000,2017,1579,2351,0,3,Desert,32200,28400,2192,3,Goldrift
189,7030000,1716,831,2046,0,3,Desert,19400,59200,1754,5,Heatwave
190,3820000,3579,454,4656,1,16,Temperate,52900,56600,454,1,Applewood
191,5950000,2358,1715,3335,0,33,Temperate,48800,3700,2370,2,Evergreen
192,4820000,5014,3372,5861,0,36,Temperate,49600,36600,5161,3,Leafrun
193,6680000,1171,125,1609,0,97,Humid,20500,32000,1229,4,Mistfield
194,3600000,386,217,773,0,24,Temperate,16600,35400,311,5,Summerhollow
195,6320000,3920,3010,4263,0,74,Tundra,38200,49600,3937,1,Froststone
196,3600000,2154,1874,2500,0,9,Dry,45900,20000,2117,2,Ironbark
198,6850000,114,1,299,1,36,Ocean,12200,21200,78,2,Tidemoor
199,6890000,114,1,289,1,37,Ocean,28800,8700,101,1,Wavecrest Bay
200,3650000,2844,1936,3902,0,7,Dry,47700,15300,2708,1,Windscar
201,3600000,114,1,251,1,53,Ocean,11000,27600,80,2,Saltreach
202,3600000,4730,4393,5143,0,175,Frozen,55800,45800,4735,3,Frosthelm
203,6420000,3419,2567,4428,0,72,Tundra,44000,36000,3159,4,Icescar
204,4590000,5074,4312,5573,0,27,Frozen,53900,31900,4907,5,Icebreaker
205,3640000,2326,1450,2813,0,9,Dry,23000,51800,2290,1,Dustvale
206,3600000,116,1,259,1,44,Ocean,9100,54000,4,1,Blue Shoals
207,5350000,1064,206,4741,1,99,Humid,49100,56400,231,3,Fernshade
208,3690000,5101,4582,5482,0,134,Frozen,57600,51200,4997,4,Snowfall
209,4070000,5186,4339,5700,0,18,Frozen,51600,37600,5402,5,Winterwatch
210,3600000,178,106,270,0,32,Temperate,9600,55900,165,1,Woodspire
211,3600000,2178,1916,2314,0,126,Humid,46800,8700,2192,2,Marshvale
212,5580000,4037,216,5502,1,23,Temperate,55100,48900,4642,3,Grassfall
213,3630000,493,4,999,1,47,Ocean,22300,20000,523,2,Pearlcoast
214,3610000,3725,3160,3959,0,2,Desert,51100,25000,3770,5,Duneveil
215,3610000,128,1,280,1,50,Ocean,12500,29900,115,1,Baystone
216,3620000,314,9,567,1,50,Ocean,35400,900,375,2,Seawatch
217,3600000,1940,1720,2269,0,15,Temperate,27300,53500,1891,3,Greenmeadow
218,3780000,4658,3845,5217,0,6,Dry,54500,15700,4484,4,Deadwood
219,3610000,1821,966,2133,1,12,Dry,23400,34000,1914,5,Burntvale
220,3770000,4576,4115,4925,0,148,Frozen,51500,45700,4552,1,Frozenmere
221,3680000,4838,3607,5277,0,174,Tundra,59100,58900,4882,2,Frosthold
222,3600000,2569,2004,2884,0,122,Humid,55900,11500,2484,3,Shadeglade
223,4540000,5302,4499,5698,0,33,Frozen,50400,28600,5375,4,Icecrown
224,3600000,2447,1682,2665,1,2,Desert,29300,59200,2564,5,Firelight
225,3610000,1514,1192,1687,0,16,Temperate,31700,18400,1588,1,Everfield
226,3660000,3114,2700,3341,0,9,Dry,59000,6600,3227,2,Stoneplain
227,3600000,231,1,496,1,43,Ocean,8800,59200,187,1,Bluewave
228,3600000,5266,4353,6137,0,7,Frozen,45800,23900,5044,4,Icereef
229,4690000,1844,1071,2764,0,57,Humid,36100,16700,2205,5,Waterfen
230,3620000,223,1,346,1,38,Ocean,24000,13700,204,1,Saltcove
231,3620000,3950,3209,4272,0,170,Tundra,36900,47900,4078,2,Iceflow
232,3600000,241,173,322,0,32,Temperate,19100,22200,217,3,Leafdale
233,3600000,3038,2516,3334,0,179,Tundra,35300,34600,3161,4,Snowcross
234,3600000,2230,1911,2428,1,117,Humid,48400,5600,2259,5,Fenmoor
235,3620000,2759,2254,3053,0,8,Dry,38900,18200,2886,1,Drywind
236,3740000,3650,2588,4059,0,173,Tundra,42700,44900,3700,2,Frostreach
237,3650000,820,410,996,0,24,Temperate,32900,14300,884,3,Elmcrest
238,3610000,1395,1113,1558,0,8,Dry,30800,19800,1420,4,Ironflat
239,3600000,141,96,248,1,33,Temperate,15000,20900,204,5,Woodland
240,4230000,398,257,514,0,41,Humid,15600,55800,403,1,Marshrun
241,3750000,2673,2210,3335,0,1,Desert,56700,9000,2718,2,Scorchtide
242,4520000,2832,1998,3422,0,29,Temperate,36800,36500,2687,3,Summerleaf
244,5560000,3169,15,4686,1,66,Ocean,32500,52700,2895,1,Oceanfall
245,3650000,4912,4013,5412,0,4,Frozen,59100,13500,5070,1,Icewind
246,3600000,1998,1398,2220,0,181,Humid,22900,59000,2088,2,Mistvale
247,3640000,4043,2711,5007,1,173,Tundra,44800,32200,4038,3,Winterpass
248,3620000,5074,4603,5324,0,163,Frozen,57600,54800,5313,4,Glaciershore
249,6370000,393,1,939,1,5,Ocean,32000,12300,283,2,Wavefall
250,4040000,244,171,349,0,46,Humid,11300,53100,218,1,Shadefield
251,3620000,4330,3745,4798,0,130,Tundra,53500,46600,4236,2,Frostedge
252,3900000,2915,1573,3650,0,141,Humid,57600,11100,3326,3,Rainmere
253,3620000,4359,3652,4662,0,177,Tundra,53900,17000,4531,4,Icethorn
254,5430000,5739,4976,6478,0,81,Frozen,44400,25000,5719,5,Coldwater
255,3600000,247,165,344,1,28,Temperate,25200,14600,239,1,Greenmarsh
256,3640000,3384,2675,3659,1,168,Tundra,59100,28600,3241,2,Snowstorm
257,3650000,3444,2707,3693,0,173,Tundra,52700,24300,3416,3,Frostmire
258,3640000,3641,2878,4046,0,173,Tundra,59100,26400,3648,4,Snowpine
259,3750000,3546,3019,3791,0,4,Desert,53700,22400,3658,5,Sunrock
260,3600000,1883,23,2580,1,16,Temperate,35700,28200,2356,1,Mapleshore
261,3630000,1663,678,2232,0,15,Temperate,22200,37600,1660,2,Grasswood
262,4370000,743,435,1372,1,54,Humid,15000,48900,776,3,Fenbrook
263,4630000,97,1,179,1,91,Ocean,15700,16700,128,1,Blue Reef
264,3600000,218,4,449,0,29,Temperate,17600,25700,378,5,Greenfen
265,3620000,1698,1167,1927,0,7,Dry,33900,23100,1774,1,Sunshard
266,3610000,1389,736,1575,1,9,Dry,23300,29500,1400,2,Dustwatch
267,3750000,316,225,416,0,32,Temperate,20700,23400,303,3,Leafhaven
268,3600000,2556,2347,2698,0,118,Humid,22800,45600,2615,4,Waterfield
269,3600000,339,13,780,1,33,Ocean,24200,17700,207,1,Seabreeze
270,3600000,177,113,313,0,40,Temperate,16700,20500,231,1,Summerrest
271,3620000,5133,4490,5400,0,3,Frozen,55700,34300,5195,2,Whiteridge
272,4260000,2162,1749,2941,0,139,Humid,41200,22200,1858,3,Riverfen
273,3740000,4304,3397,4629,0,169,Tundra,49700,52100,4413,4,Frosthollow
274,3790000,91,1,158,1,58,Ocean,5600,59000,96,1,Tidewater
275,3810000,4328,3756,4560,0,11,Dry,31600,44600,4271,1,Burning Sands
276,4100000,366,222,665,0,44,Humid,13200,59400,321,2,Mistsong
277,3610000,4890,4339,5181,0,172,Frozen,49100,45800,5019,3,Frostwood
278,3610000,619,4,1754,1,39,Ocean,23900,35300,9,1,Pearlshore
279,3630000,3293,2547,3698,0,1,Desert,52900,3900,3605,5,Sunstrike
280,3730000,5879,4873,6159,0,15,Frozen,46600,29700,5960,1,Snowmist
281,3600000,123,1,310,1,45,Ocean,15100,27200,65,1,Saltmarsh
282,3630000,1268,11,1876,1,15,Ocean,23000,32500,1305,2,Wavecall
283,5170000,206,104,400,0,89,Humid,32000,9200,177,4,Fernfen
284,3790000,954,127,1669,0,46,Humid,26600,17400,1080,5,Fogmire
285,3690000,4667,3747,5129,0,176,Tundra,48600,42700,4690,1,Winterwood
286,3610000,2374,1948,3303,0,137,Humid,26200,43300,2171,2,Lakebreeze
287,3600000,247,205,304,0,45,Humid,46900,57400,242,3,Raincrest
288,3600000,170,2,323,1,40,Ocean,15400,24000,178,2,Shellstrand
289,3600000,280,2,520,1,42,Ocean,11100,50600,373,1,Oceanview
290,3600000,2530,1892,2895,0,9,Dry,24700,52000,2596,1,Rockdust
291,3600000,3500,2657,4331,0,8,Dry,32400,39300,3639,2,Dryridge
292,3600000,5564,5012,5946,0,181,Frozen,58800,50800,5547,3,Wintervale
293,4280000,391,3,675,1,58,Ocean,15300,52600,480,1,Tidecrest
294,4080000,2643,1577,2977,0,16,Temperate,58600,700,2414,5,Greenrun
295,4130000,2726,2056,3047,0,24,Temperate,57400,2600,2698,1,Elmshadow
296,3660000,1779,1575,1929,0,148,Humid,39000,10600,1768,2,Dewshade
297,3700000,822,639,1080,0,27,Temperate,17000,38600,739,3,Woodglen
298,3640000,2507,1929,2822,0,177,Humid,59000,2700,2215,4,Miststone
299,3620000,2051,1328,2436,1,1,Desert,26400,56000,2041,5,Sandfire
301,3720000,4764,4067,5148,1,0,Frozen,43400,56000,4779,2,Iceglen
302,3670000,4821,3877,5282,0,3,Desert,47100,43400,4930,3,Sandspike
303,3670000,329,183,2069,1,47,Humid,51600,57700,253,4,Fenmarsh
304,3610000,2503,1876,3486,0,4,Desert,29800,39800,2289,5,Sunrift
305,3620000,3700,3161,3936,0,177,Tundra,50400,23200,3712,1,Frosthaven
306,3630000,4679,3193,5096,1,178,Tundra,56600,43800,4660,2,Icemoor
307,3820000,781,538,899,0,35,Temperate,15500,38900,804,3,Springcrest
308,3610000,1529,531,1802,0,2,Desert,20300,56500,1532,4,Sunscar
309,3740000,1101,891,1636,0,22,Temperate,34900,16000,1064,5,Leafcove
310,3620000,209,9,476,1,35,Ocean,25000,15900,185,1,Deepcove
311,3660000,3383,2509,4042,0,173,Tundra,57500,24100,3277,2,Snowtrack
312,3980000,4068,3123,4506,0,4,Desert,50100,54100,4185,3,Ashcrest
313,3600000,1828,1429,2003,0,22,Temperate,37300,10200,1881,4,Greenleaf
314,3610000,4210,3725,4573,0,172,Tundra,53800,40600,4058,5,Froststrand
315,3610000,1634,1166,2328,0,157,Humid,19000,46700,1904,1,Riverlight
316,3620000,217,5,475,1,32,Ocean,14000,35400,238,1,Bluebay
317,3740000,4643,3986,4934,0,174,Tundra,50200,49500,4506,3,Snowwatch
318,4810000,4080,3416,4332,0,46,Tundra,50500,16100,3980,4,Wintercrag
320,8140000,5093,3875,5812,0,77,Tundra,59200,54000,5015,1,Snowplain
321,3600000,931,744,1090,0,38,Temperate,14300,41300,1014,2,Summerfen
322,3600000,2449,2083,2847,0,155,Humid,38400,26200,2307,3,Shadepool
323,3680000,1766,21,2469,1,22,Temperate,42300,14300,2087,4,Everhollow
324,3620000,1268,1002,1909,0,138,Humid,45700,2800,1239,5,Rainshadow
325,4330000,1598,1237,2169,0,41,Humid,34200,20400,1565,1,Marshcreek
326,5560000,4405,3579,4884,0,66,Tundra,51200,42400,4392,2,Icebarrow
327,3810000,1287,1,2700,1,45,Ocean,36400,32400,2285,2,Saltwater
328,3600000,4767,4143,5127,0,136,Frozen,54100,44900,4740,4,Snowbank
329,3600000,376,110,902,0,46,Humid,40300,600,663,5,Mistpond
330,3600000,1137,360,1348,0,19,Temperate,17900,48300,963,1,Pinecrest
